,Specific Entry/Exit dates
113,United Kingdom
114,United Kingdom
115,United Kingdom
116,United Kingdom
117,United Kingdom
118,United Kingdom
156,United Kingdom
157,United Kingdom
158,United Kingdom
160,United Kingdom
161,United Kingdom
163,United Kingdom
165,United Kingdom
168,United Kingdom
171,United Kingdom
172,United Kingdom
173,United Kingdom
175,United Kingdom
176,United Kingdom
178,United Kingdom
179,United Kingdom
180,United Kingdom
181,United Kingdom
182,United Kingdom
183,United Kingdom
184,United Kingdom
185,United Kingdom
186,United Kingdom
191,United Kingdom
193,United Kingdom
194,United Kingdom
196,United Kingdom
197,United Kingdom
198,United Kingdom
199,United Kingdom
200,United Kingdom
204,United Kingdom
187,United Kingdom
169,United Kingdom
201,United Kingdom
167,United Kingdom
188,United Kingdom
205,United Kingdom
